Table_Type	Family	Family_Link	Family_Note	Family_Note_Link	Family_Indicator	Alt	Alt_Note	Alt_Note_Link	Alt_Indicator	AN	AN_Link	AN_Note	AN_Note_Link	AN_Indicator	Name	Name_Note	Name_Note_Link	Name_Indicator	EC	EC_Links	EC_Note	EC_Note_Link	EC_Indicator	Organism	Organism_Note	Organism_Note_Link	Organism_Indicator	Cell_Loc	Cell_Loc_Note	Cell_Loc_Note_Link	Cell_Loc_Indicator	AAs	AAs_Note	AAs_Note_Link	AAs_Indicator	Structure	Structure_Note	Structure_Note_Link	Structure_Indicator	PDB_IDs	PDB_RCSB_Links	PDB_UniProt_Links	PDB_Note	PDB_Indicator	Km	Km_DOIs	Km_Note	Km_Indicator	Vmax	Vmax_DOIs	Vmax_Note	Vmax_Indicator	Kcat	Kcat_DOIs	Kcat_Note	Kcat_Indicator
ESP	1-4-11	/html-files/class1-family11.html				-				F8AHM4	https://www.uniprot.org/uniprotkb/F8AHM4/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Pyrococcus yayanosii				-				328				-									6.5	https://doi.org/10.1007/s00253-019-09967-w										
ESP	1-4-11	/html-files/class1-family11.html				-				C5A6T2	https://www.uniprot.org/uniprotkb/C5A6T2/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Thermococcus gammatolerans				-				328				-									5.3	https://doi.org/10.1007/s00253-019-09967-w										
ESP	1-4-11	/html-files/class1-family11.html				-				Q5JIW4	https://www.uniprot.org/uniprotkb/Q5JIW4/entry				ASPG_THEKO				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Thermococcus kodakarensis				-				328				Homo dimer				5OT0	https://www.rcsb.org/structure/5OT0				2.6;5.5	https://doi.org/10.1002/jobm.201300741;https://doi.org/10.1016/j.jbiosc.2013.04.005			1121;3300	https://doi.org/10.1002/jobm.201300741;https://doi.org/10.1016/j.jbiosc.2013.04.005			694	https://doi.org/10.1002/jobm.201300741		
ESP	1-4-11	/html-files/class1-family11.html				-				C6A532	https://www.uniprot.org/uniprotkb/C6A532/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Thermococcus sibiricus				-				331				-									4.7	https://doi.org/10.3390/catal13050832			640	https://doi.org/10.3390/catal13050832			400	https://doi.org/10.3390/catal13050832		
ESP	1-4-11	/html-files/class1-family11.html				-				UPI00029ABCE1	https://www.uniprot.org/uniparc/UPI00029ABCE1/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Thermococcus zilligii				-				330				-									6.08	https://doi.org/10.1007/s00792-015-0763-0							3267	https://doi.org/10.1007/s00792-015-0763-0		
ESP	1-4-12	/html-files/class1-family12.html				-				O26802	https://www.uniprot.org/uniprotkb/O26802/entry				GATD_METTH				6.3.5.-	https://enzyme.expasy.org/EC/6.3.5.-				Methanothermobacter thermautotrophicus				-				435				Hetero tetramer	Has additional domain.		i	2D6F	https://www.rcsb.org/structure/2D6F															
ESP	1-4-12	/html-files/class1-family12.html				-				Q9V0T9	https://www.uniprot.org/uniprotkb/Q9V0T9/entry				GATD_PYRAB				6.3.5.-	https://enzyme.expasy.org/EC/6.3.5.-				Pyrococcus abyssi				-				438				Hetero tetramer	Has additional domain.		i	1ZQ1	https://www.rcsb.org/structure/1ZQ1															
ESP	1-5-14	/html-files/class1-family14.html				CpAI				H0W0T5	https://www.uniprot.org/uniprotkb/H0W0T5/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Cavia porcellus				-				565				Homo tetramer	Additional ankyrin repeats.		i	4R8L	https://www.rcsb.org/structure/4R8L	https://www.uniprot.org/uniprotkb/H0W0T5/entry#structure			0.057	https://doi.org/10.1074/jbc.M114.609552							38.6	https://doi.org/10.1074/jbc.M114.609552		
ESP	1-5-14	/html-files/class1-family14.html				hAI				Q86U10	https://www.uniprot.org/uniprotkb/Q86U10/entry				LPP60_HUMAN				3.1.1.5;3.5.1.1;3.1.1.47	https://enzyme.expasy.org/EC/3.1.1.5;https://enzyme.expasy.org/EC/3.5.1.1;https://enzyme.expasy.org/EC/3.5.1.47				Homo sapiens				-				573				Monomer	At assay conditions, substrate-inducing effect on the oligomeric state		i						11.5	https://www.jbc.org/article/S0021-9258(20)38784-6/fulltext	S_0.5, allosteric enzyme	i					6.7	https://www.jbc.org/article/S0021-9258(20)38784-6/fulltext		
ESP	1-5-15	/html-files/class1-family15.html				RmAI				W0G253	https://www.uniprot.org/uniprotkb/W0G253/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Rhizomucor miehei				-				682				Homo dimer	Determined by gel filtration. Has additional ankyrin repeats.		i						0.133	https://doi.org/10.1128/aem.03523-13	brenda-enzymes.org	i	3380.0	https://doi.org/10.1128/aem.03523-13			676	https://doi.org/10.1128/aem.03523-13		
ESP	1-5-16	/html-files/class1-family16.html				EcAI	Identical sequences: P0A963, P0A962		i	P0A962	https://www.uniprot.org/uniprotkb/P0A962/entry				ASPG1_ECOLI				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Escherichia coli	(strain K12)		i	Cytoplasm				338				Homo tetramer	dimer of two intimate dimers		i	2HIM	https://www.rcsb.org/structure/2HIM	https://www.uniprot.org/uniprotkb/P0A962/entry#structure			1.2;3.5	https://doi.org/10.1016/j.jmb.2007.03.061;https://doi.org/10.1128/jb.118.1.231-241.1974	S_0.5, allosteric enzyme	i								
ESP	1-5-16	/html-files/class1-family16.html				-				A0A221KKE2	https://www.uniprot.org/uniprotkb/A0A221KKE2/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Halomonas elongata				-				355				-									5.6	https://doi.org/10.1007/s00253-017-8456-5							1960	https://doi.org/10.1007/s00253-017-8456-5		
ESP	1-5-16	/html-files/class1-family16.html				-				X0NLX5	https://www.uniprot.org/uniprotkb/X0NLX5/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Photobacterium leiognathi	Fish gut microbiome. Organism not certain.		i	-				337				-									3.008	https://doi.org/10.1007/s00253-022-11954-7	Sequence may not be exact match	i								
ESP	1-5-16	/html-files/class1-family16.html				-	As presented, lacks the critical conserved Motif 1		i	A0A7D7L7P6	https://www.uniprot.org/uniprotkb/A0A7D7L7P6/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Pseudomonas aeruginosa				-				306				-									10.904	https://doi.org/10.1007/s10126-022-10129-9										
ESP	1-5-16	/html-files/class1-family16.html				-				A0A2D5S0K3	https://www.uniprot.org/uniprotkb/A0A2D5S0K3/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Rheinheimera sp				-				341				-									0.98	https://doi.org/10.1016/j.bej.2023.108806							16.17	https://doi.org/10.1016/j.bej.2023.108806		
