Family	Alt	AN	Name	EC	Organism	Cell-Loc	AAs	Structure	PDB	Km	Vmax	Kcat
1-4-12	-	C3MPS1	GATD_SULIL	6.3.5.-	Sulfolobus islandicus	-	445	-	-	-	-	-
1-4-12	-	C3MYR5	GATD_SULIM	6.3.5.-	Sulfolobus islandicus	-	445	-	-	-	-	-
1-4-12	-	C3NHQ2	GATD_SULIN	6.3.5.-	Sulfolobus islandicus	-	445	-	-	-	-	-
1-4-12	-	C3NE01	GATD_SULIY	6.3.5.-	Sulfolobus islandicus	-	445	-	-	-	-	-
1-4-12	-	Q971W5	GATD_SULTO	6.3.5.-	Sulfurisphaera tokodaii	-	448	-	-	-	-	-
1-4-12	-	Q9HJJ5	GATD_THEAC	6.3.5.-	Thermoplasma acidophilum	-	409	-	-	-	-	-
1-4-12	-	Q5JI77	GATD_THEKO	6.3.5.-	Thermococcus kodakarensis	-	440	-	-	-	-	-
1-4-12	-	A1RX40	GATD_THEPD	6.3.5.-	Thermofilum pendens	-	451	-	-	-	-	-
1-4-12	-	Q979L8	GATD_THEVO	6.3.5.-	Thermoplasma volcanium	-	406	-	-	-	-	-
1-5-14	-	Q9U518	ASPG_DIRIM	3.5.1.1	Dirofilaria immitis	-	590	-	-	-	-	-
1-5-14	hAI	Q86U10	LPP60_HUMAN	3.1.1.5 3.5.1.1 3.1.1.47	Homo sapiens	-	573	Monomer	-	11.5	-	6.7
1-5-14	-	A0JNU3	LPP60_MOUSE	3.1.1.5 3.5.1.1 3.1.1.47	Mus musculus	-	564	-	-	-	-	-
1-5-14	-	O88202	LPP60_RAT	3.1.1.5 3.5.1.1 3.1.1.47	Rattus norvegicus	-	564	-	-	-	-	-
1-5-16	EcAI	P0A963	ASPG1_ECO57	3.5.1.1	Escherichia coli	Cytoplasm	338	-	-	-	-	-
1-5-16	EcAI	P0A962	ASPG1_ECOLI	3.5.1.1	Escherichia coli	Cytoplasm	338	Homo tetramer	2HIM PDBs	1.2 3.5	-	-
2-1-2	-	Q56W64	ASPG3_ARATH	3.4.19.5	Arabidopsis thaliana	-	359	-	-	-	-	-
2-1-2	-	Q21697	ASPG_CAEEL	3.5.1.26	Caenorhabditis elegans	Lysosome	363	-	-	-	-	-
2-1-2	-	B3MJ16	ASPG2_DROAN	3.5.1.26	Drosophila ananassae	-	378	-	-	-	-	-
2-1-2	-	B3N6Y7	ASPG1_DROER	3.5.1.26	Drosophila erecta	-	396	-	-	-	-	-
2-1-2	-	B3NN96	ASPG2_DROER	3.5.1.26	Drosophila erecta	-	399	-	-	-	-	-
2-1-2	-	B4JVW6	ASPG1_DROGR	3.5.1.26	Drosophila grimshawi	-	393	-	-	-	-	-
2-1-2	-	Q8MR45	ASPG1_DROME	3.5.1.26	Drosophila melanogaster	-	393	-	-	-	-	-
2-1-2	-	Q9W2C3	ASPG2_DROME	3.5.1.26	Drosophila melanogaster	-	397	-	-	-	-	-
2-1-2	-	B4GGF2	ASPG1_DROPE	3.5.1.26	Drosophila persimilis	-	388	-	-	-	-	-
2-1-2	-	B4GHE3	ASPG2_DROPE	3.5.1.26	Drosophila persimilis	-	457	-	-	-	-	-
2-1-2	-	Q28Y14	ASPG1_DROPS	3.5.1.26	Drosophila pseudoobscura	-	388	-	-	-	-	-
2-1-2	-	Q28XQ5	ASPG2_DROPS	3.5.1.26	Drosophila pseudoobscura	-	457	-	-	-	-	-
2-1-2	-	B4HT15	ASPG1_DROSE	3.5.1.26	Drosophila sechellia	-	393	-	-	-	-	-
2-1-2	-	B4I7X1	ASPG2_DROSE	3.5.1.26	Drosophila sechellia	-	397	-	-	-	-	-
2-1-2	-	B4QHB1	ASPG1_DROSI	3.5.1.26	Drosophila simulans	-	393	-	-	-	-	-
2-1-2	-	B4QGM0	ASPG2_DROSI	3.5.1.26	Drosophila simulans	-	397	-	-	-	-	-
2-1-2	-	B4NWI1	ASPG1_DROYA	3.5.1.26	Drosophila yakuba	-	396	-	-	-	-	-
2-1-2	-	B4P8E0	ASPG2_DROYA	3.5.1.26	Drosophila yakuba	-	399	-	-	-	-	-
2-1-2	-	P20933	ASPG_HUMAN	3.5.1.26	Homo sapiens	Lysosome	346	Hetero tetramer / homo dimer	1APY PDBs	0.656	-	-
2-1-2	-	Q4R6C4	ASPG_MACFA	3.5.1.26	Macaca fascicularis	Lysosome	346	-	-	-	-	-
2-1-2	-	Q64191	ASPG_MOUSE	3.5.1.26	Mus musculus	Lysosome	346	-	-	-	-	-
2-1-2	-	P30919	ASPG_RAT	3.5.1.26	Rattus norvegicus	Lysosome	345	-	-	-	-	-
2-1-2	-	O02467	ASPG_SPOFR	3.5.1.26	Spodoptera frugiperda	Lysosome	320	-	-	3.0	-	-
2-1-5	-	Q47898	ASPG_ELIMR	3.5.1.26	Elizabethkingia miricola	Periplasm	340	Hetero tetramer / homo dimer	1AYY PDBs	-	-	-
2-2-6	-	Q8YQB1	ASGX_NOSS1	3.4.19.5	Nostoc sp.	-	318	-	-	2.0	2.2	-
2-2-6	-	P74383	ASGX_SYNY3	3.4.19.5	Synechocystis sp.	-	329	-	-	0.66	1.6	-
2-3-7	-	Q9P6N7	TASP1_SCHPO	3.4.25.-	Schizosaccharomyces pombe	Cytoplasm	345	-	-	-	-	-
2-3-8	-	O65268	TASP1_ARATH	3.4.25.-	Arabidopsis thaliana	-	408	-	-	-	-	-
2-3-9	Taspase1	Q9H6P5	TASP1_HUMAN	3.4.25.-	Homo sapiens		420	Hetero tetramer / homo dimer / hexamer	6VIN PDBs	-	-	-
2-3-9	-	Q8R1G1	TASP1_MOUSE	3.4.25.-	Mus musculus	-	420	-	-	-	-	-
2-4-10	-	A3MUS8	ASPGP_PYRCJ	3.5.1.1	Pyrobaculum calidifontis	-	299	Dimer	-	4.5	355	374.0
2-4-10	-	Q9V262	ASPGP_PYRAB	3.5.1.1	Pyrococcus abyssi	-	305	-	-	2.051	-	-
2-4-10	-	Q8U4E6	ASPGP_PYRFU	3.5.1.1	Pyrococcus furiosus	-	306	-	-	-	-	-
2-4-10	-	O57971	ASPGP_PYRHO	3.5.1.1	Pyrococcus horikoshii	-	305	-	-	-	-	-
2-4-10	-	Q5JHT1	ASPGP_THEKO	3.5.1.1	Thermococcus kodakarensis	-	306	Dimer	-	3.1	833	-
2-4-12	-	Q32LE5	ASGL1_BOVIN	3.4.19.5 3.5.1.1	Bos taurus	Cytoplasm	308	-	-	-	-	-
2-4-12	-	Q5BKW9	ASGL1_DANRE	3.4.19.5 3.5.1.1	Danio rerio	Cytoplasm	310	-	-	-	-	-
2-4-12	-	Q9VXT7	ASGL1_DROME	3.4.19.5 3.5.1.1	Drosophila melanogaster	-	332	-	-	-	-	-
2-4-12	-	Q29I93	ASGL1_DROPS	3.4.19.5 3.5.1.1	Drosophila pseudoobscura	-	325	-	-	-	-	-
2-4-12	-	Q7L266	ASGL1_HUMAN	3.4.19.5 3.5.1.1	Homo sapiens	Cytoplasm	308	Hetero tetramer / homo dimer	4ZM9 PDBs	3.4	-	6.9
2-4-12	-	Q4R7U8	ASGL1_MACFA	3.4.19.5 3.5.1.1	Macaca fascicularis	Cytoplasm	308	-	-	-	-	-
2-4-12	-	Q8C0M9	ASGL1_MOUSE	3.4.19.5 3.5.1.1	Mus musculus	Cytoplasm	326	-	-	-	-	-
2-4-12	-	Q8VI04	ASGL1_RAT	3.4.19.5 3.5.1.1	Rattus norvegicus	Cytoplasm	333	-	-	2.4	-	-
2-4-12	-	Q6GM78	ASGL1_XENLA	3.4.19.5 3.5.1.1	Xenopus laevis	Cytoplasm	309	-	-	-	-	-
2-5-14	-	P50287	ASPGA_ARATH	3.4.19.5	Arabidopsis thaliana	-	315	-	-	> 4	-	-
2-5-14	-	Q8GXG1	ASPGB_ARATH	3.4.19.5	Arabidopsis thaliana	-	325	-	-	-	-	-
2-5-14	-	Q54WW4	ASGX_DICDI	3.4.19.5 3.5.1.1	Dictyostelium discoideum	-	346	-	-	-	-	-
2-5-14	EcAIII	P37595	IAAA_ECOLI	3.4.19.5	Escherichia coli	-	321	Hetero tetramer / homo dimer	1T3M PDBs 90%	3.9	-	0.28
2-5-14	-	P50288	ASPG_LUPAL	3.4.19.5	Lupinus albus	-	325	-	-	-	-	-
2-5-14	-	P30364	ASPG_LUPAN	3.4.19.5	Lupinus angustifolius	-	325	-	-	-	-	-
2-5-14	-	P30362	ASPG_LUPAR	3.4.19.5	Lupinus arboreus	-	306	-	-	-	-	-
2-5-14	LlAIII	Q9ZSD6	ASPG_LUPLU	3.4.19.5	Lupinus luteus	-	325	Hetero tetramer / homo dimer	2GEZ PDBs	4.8	-	0.32
2-5-14	-	Q7CQV5	IAAA_SALTY	3.4.19.5	Salmonella typhimurium	-	313	-	-	-	-	-
